trade_date,cash,market_value,total_asset
2024-01-02,1000000.000,0,1000000.000
2024-01-03,99010.784,899914.700,998925.484
2024-01-04,99094.684,894542.000,993636.684
2024-01-05,98390.684,887700.200,986090.884
2024-01-08,96892.384,874779.400,971671.784
2024-01-09,96892.384,874685.300,971577.684
2024-01-10,96362.384,870326.400,966688.784
2024-01-11,97645.184,874878.400,972523.584
2024-01-12,96653.584,871461.600,968115.184
2024-01-15,96373.784,871596.300,967970.084
2024-01-16,97347.984,873132.300,970480.284
2024-01-17,95194.384,859215.800,954410.184
2024-01-18,96196.484,862747.400,958943.884
2024-01-19,95648.884,864197.000,959845.884
2024-01-22,93959.184,849664.700,943623.884
2024-01-23,95227.684,854497.200,949724.884
2024-01-24,95157.584,855090.000,950247.584
2024-01-25,95699.784,861270.300,956970.084
2024-01-26,94869.584,853770.500,948640.084
2024-01-29,93761.284,844267.400,938028.684
2024-01-30,91255.218,830870.100,922125.318
2024-01-31,92138.018,827821.800,919959.818
2024-02-01,92095.018,828675.000,920770.018
2024-02-02,91871.018,826001.700,917872.718
2024-02-05,91638.218,825632.300,917270.518
2024-02-06,92274.674,836290.500,928565.174
2024-02-07,94214.574,846195.800,940410.374
2024-02-08,94767.574,852354.600,947122.174
2024-02-19,95343.774,856623.000,951966.774
2024-02-20,94510.674,852962.800,947473.474
2024-02-21,94742.674,853265.200,948007.874
2024-02-22,95429.474,856603.500,952032.974
2024-02-23,95452.874,856810.000,952262.874
2024-02-26,96011.374,860863.300,956874.674
2024-02-27,97580.974,874834.600,972415.574
2024-02-28,95677.374,861962.400,957639.774
2024-02-29,98084.174,880510.900,978595.074
2024-03-01,98591.974,886044.800,984636.774
2024-03-04,98886.174,891759.200,990645.374
2024-03-05,99259.574,897933.400,997192.974
2024-03-06,99532.174,897262.000,996794.174
2024-03-07,98216.302,893693.900,991910.202
2024-03-08,98323.977,893434.800,991758.777
2024-03-11,99289.309,901555.900,1000845.209
2024-03-12,100224.709,899398.900,999623.609
2024-03-13,99506.309,896647.500,996153.809
2024-03-14,98051.020,896056.100,994107.120
2024-03-15,99545.820,899231.100,998776.920
2024-03-18,100745.320,903452.400,1004197.720
2024-03-19,99902.320,898931.000,998833.320
2024-03-20,99982.620,900823.600,1000806.220
2024-03-21,100087.620,905523.400,1005611.020
2024-03-22,99305.920,895890.000,995195.920
2024-03-25,98822.220,890804.400,989626.620
2024-03-26,98383.820,886695.800,985079.620
2024-03-27,97509.920,878198.500,975708.420
2024-03-28,98512.920,886180.300,984693.220
2024-03-29,99076.920,894699.800,993776.720
2024-04-01,100361.520,903199.500,1003561.020
2024-04-02,99638.720,900370.500,1000009.220
2024-04-03,99906.120,899667.000,999573.120
2024-04-08,99790.420,901268.800,1001059.220
2024-04-09,100811.220,905551.700,1006362.920
2024-04-10,99620.420,901402.700,1001023.120
2024-04-11,100240.820,898004.200,998245.020
2024-04-12,100717.420,910014.000,1010731.420
2024-04-15,101259.420,909315.300,1010574.720
2024-04-16,100085.020,903554.800,1003639.820
2024-04-17,100831.141,912761.200,1013592.341
2024-04-18,100645.489,910603.100,1011248.589
2024-04-19,100358.489,903713.600,1004072.089
2024-04-22,99725.689,896080.600,995806.289
2024-04-23,98443.089,884567.700,983010.789
2024-04-24,99596.089,893854.700,993450.789
2024-04-25,98576.589,892054.400,990630.989
2024-04-26,100835.389,904266.800,1005102.189
2024-04-29,101595.589,914882.400,1016477.989
2024-04-30,101077.489,910188.600,1011266.089
2024-05-06,101366.389,912221.500,1013587.889
2024-05-07,100879.989,909981.000,1010860.989
2024-05-08,100419.589,904743.500,1005163.089
2024-05-09,101624.089,912788.000,1014412.089
2024-05-10,101693.589,916873.000,1018566.589
2024-05-13,101049.389,911358.000,1012407.389
2024-05-14,100725.589,909851.400,1010576.989
2024-05-15,100207.889,906995.400,1007203.289
2024-05-16,100709.289,908715.900,1009425.189
2024-05-17,101913.989,912647.200,1014561.189
2024-05-20,102157.989,923088.300,1025246.289
2024-05-21,101598.589,914387.400,1015985.989
2024-05-22,102065.589,918329.200,1020394.789
2024-05-23,100224.689,902639.900,1002864.589
2024-05-24,98609.089,890993.300,989602.389
2024-05-27,99695.289,897921.000,997616.289
2024-05-28,99525.389,895998.500,995523.889
2024-05-29,99739.489,898795.700,998535.189
2024-05-30,99974.289,898781.000,998755.289
2024-05-31,99952.989,901566.800,1001519.789
2024-06-03,100153.689,901436.600,1001590.289
2024-06-04,100659.289,907471.500,1008130.789
2024-06-05,100510.089,905167.200,1005677.289
2024-06-06,100357.089,906420.500,1006777.589
2024-06-07,100107.089,904416.200,1004523.289
2024-06-11,100098.689,901897.700,1001996.389
2024-06-12,100318.089,903680.700,1003998.789
2024-06-13,100575.889,905292.300,1005868.189
2024-06-14,100035.489,903148.400,1003183.889
2024-06-17,100585.589,904990.300,1005575.889
2024-06-18,100501.089,905498.200,1005999.289
2024-06-19,100147.689,903645.300,1003792.989
2024-06-20,100732.089,909264.500,1009996.589
2024-06-21,100965.289,913449.000,1014414.289
2024-06-24,99208.889,895822.000,995030.889
2024-06-25,97812.089,884905.800,982717.889
2024-06-26,98847.589,888916.900,987764.489
2024-06-27,97628.789,879528.800,977157.589
2024-06-28,97669.189,881154.400,978823.589
2024-07-01,97444.789,880351.500,977796.289
2024-07-02,96804.989,875041.800,971846.789
2024-07-03,97274.389,878560.800,975835.189
2024-07-04,96992.789,874301.000,971293.789
2024-07-05,97876.989,879543.500,977420.489
2024-07-08,97161.289,876277.600,973438.889
2024-07-09,98529.389,883986.600,982515.989
2024-07-10,98165.989,887818.400,985984.389
2024-07-11,99413.989,892980.500,992394.489
2024-07-12,99270.589,896097.000,995367.589
2024-07-15,99224.889,893419.000,992643.889
2024-07-16,100936.389,906419.100,1007355.489
2024-07-17,101065.589,910930.400,1011995.989
2024-07-18,101763.589,914156.500,1015920.089
2024-07-19,101233.189,911439.200,1012672.389
2024-07-22,101781.189,912287.400,1014068.589
2024-07-23,98920.089,894876.000,993796.089
2024-07-24,99016.989,894735.900,993752.889
2024-07-25,98821.189,884807.400,983628.589
2024-07-26,99027.889,889457.400,988485.289
2024-07-29,98305.989,885553.400,983859.389
2024-07-30,98968.789,887255.000,986223.789
2024-07-31,101289.789,909268.400,1010558.189
2024-08-01,101150.789,910732.200,1011882.989
2024-08-02,100185.289,906697.200,1006882.489
2024-08-05,98051.189,883093.400,981144.589
2024-08-06,98408.589,885489.700,983898.289
2024-08-07,97714.789,884694.000,982408.789
2024-08-08,98751.389,885190.300,983941.689
2024-08-09,98223.789,887806.800,986030.589
2024-08-12,98901.389,890490.300,989391.689
2024-08-13,99443.489,895373.200,994816.689
2024-08-14,98416.189,888913.600,987329.789
2024-08-15,99517.789,890963.100,990480.889
2024-08-16,98718.989,890768.100,989487.089
2024-08-19,98947.989,894824.500,993772.489
2024-08-20,98598.989,888500.600,987099.589
2024-08-21,98722.489,889078.300,987800.789
2024-08-22,97944.489,884433.500,982377.989
2024-08-23,98318.489,883140.800,981459.289
2024-08-26,97730.089,883373.400,981103.489
2024-08-27,97110.589,879337.800,976448.389
2024-08-28,97077.589,876399.200,973476.789
2024-08-29,98111.789,881505.200,979616.989
2024-08-30,99279.689,888558.400,987838.089
2024-09-02,96479.289,873576.300,970055.589
2024-09-03,97746.889,876202.400,973949.289
2024-09-04,96995.689,872060.400,969056.089
2024-09-05,96744.089,875411.700,972155.789
2024-09-06,96418.089,871330.200,967748.289
2024-09-09,95851.689,863092.300,958943.989
2024-09-10,96261.289,868654.400,964915.689
2024-09-11,96810.189,872267.900,969078.089
2024-09-12,96109.189,868953.600,965062.789
2024-09-13,96440.389,870484.600,966924.989
2024-09-18,95854.089,867717.600,963571.689
2024-09-19,96701.289,869357.800,966059.089
2024-09-20,96216.989,871530.400,967747.389
2024-09-23,96594.289,872263.600,968857.889
2024-09-24,98457.689,885473.400,983931.089
2024-09-25,98543.589,889350.000,987893.589
2024-09-26,100934.389,905565.300,1006499.689
2024-09-27,104346.468,938536.800,1042883.268
2024-09-30,113500.161,1022827.200,1136327.361
2024-10-08,123886.294,1115260.400,1239146.694
2024-10-09,121066.394,1089316.800,1210383.194
2024-10-10,117895.794,1061148.000,1179043.794
2024-10-11,114541.602,1031568.300,1146109.902
2024-10-14,116589.302,1047369.500,1163958.802
2024-10-15,114716.002,1034165.200,1148881.202
2024-10-16,113859.202,1030010.900,1143870.102
2024-10-17,113458.287,1032784.300,1146242.587
2024-10-18,116279.533,1052670.300,1168949.833
2024-10-21,117477.733,1062656.000,1180133.733
2024-10-22,116157.125,1056004.400,1172161.525
2024-10-23,117362.525,1060088.600,1177451.125
2024-10-24,116554.725,1049800.800,1166355.525
