trade_date,symbol,turnover_rule,total_quantity,available_quantity,today_buy_quantity,raw_close,market_value,portfolio_weight
2024-01-02,SH.510300,T1,0,0,0,3.45300000,0,0E+3
2024-01-02,SH.518880,T0,0,0,0,4.66600000,0,0E+3
2024-01-02,SH.588000,T1,0,0,0,0.88600000,0,0E+3
2024-01-03,SH.510300,T1,0,0,0,3.44300000,0,0E+3
2024-01-03,SH.518880,T0,96500,96500,0,4.66300000,449979.500,0.4504635302706923432539038117
2024-01-03,SH.588000,T1,514800,0,514800,0.87400000,449935.200,0.4504191826184304253869651002
2024-01-04,SH.510300,T1,0,0,0,3.41300000,0,0E+3
2024-01-04,SH.518880,T0,96200,96200,0,4.65100000,447426.200,0.4502915474082879170350759715
2024-01-04,SH.588000,T1,516300,514800,1500,0.86600000,447115.800,0.4499791595858592515491306076
2024-01-05,SH.510300,T1,0,0,0,3.39600000,0,0E+3
2024-01-05,SH.518880,T0,95200,95200,0,4.66400000,444012.800,0.4502757374643775735381405270
2024-01-05,SH.588000,T1,522600,516300,6300,0.84900000,443687.400,0.4499457475970338652882222568
2024-01-08,SH.510300,T1,0,0,0,3.34900000,0,0E+3
2024-01-08,SH.518880,T0,94100,94100,0,4.65000000,437565.000,0.4503218136053233382765388606
2024-01-08,SH.588000,T1,530600,522600,8000,0.82400000,437214.400,0.4499609921779924814612091278
2024-01-09,SH.510300,T1,0,0,0,3.35700000,0,0E+3
2024-01-09,SH.518880,T0,94100,94100,0,4.64900000,437470.900,0.4502685757446853832842871265
2024-01-09,SH.588000,T1,530600,530600,0,0.82400000,437214.400,0.4500045721511240474312911452
2024-01-10,SH.510300,T1,0,0,0,3.34100000,0,0E+3
2024-01-10,SH.518880,T0,94000,94000,0,4.63100000,435314.000,0.4503145243898888558947012672
2024-01-10,SH.588000,T1,531800,530600,1200,0.81800000,435012.400,0.4500025315282855293788119507
2024-01-11,SH.510300,T1,0,0,0,3.36000000,0,0E+3
2024-01-11,SH.518880,T0,94400,94400,0,4.63100000,437166.400,0.4495175306720376664922092008
2024-01-11,SH.588000,T1,528000,528000,0,0.82900000,437712.000,0.4500785453445620502299304651
2024-01-12,SH.510300,T1,0,0,0,3.34900000,0,0E+3
2024-01-12,SH.518880,T0,93800,93800,0,4.64600000,435794.800,0.4501476758162280822154732365
2024-01-12,SH.588000,T1,532600,528000,4600,0.81800000,435666.800,0.4500154601438417269984683971
2024-01-15,SH.510300,T1,0,0,0,3.34500000,0,0E+3
2024-01-15,SH.518880,T0,93300,93300,0,4.67300000,435990.900,0.4504177424557678788758930281
2024-01-15,SH.588000,T1,535800,532600,3200,0.81300000,435605.400,0.4500194863460263716166666159
2024-01-16,SH.510300,T1,0,0,0,3.36700000,0,0E+3
2024-01-16,SH.518880,T0,93300,93300,0,4.67700000,436364.100,0.4496372643465263844556372255
2024-01-16,SH.588000,T1,534600,534600,0,0.81700000,436768.200,0.4500536561132240374292858895
2024-01-17,SH.510300,T1,0,0,0,3.29200000,0,0E+3
2024-01-17,SH.518880,T0,92800,92800,0,4.63100000,429756.800,0.4502852203429547646151269484
2024-01-17,SH.588000,T1,540200,534600,5600,0.79500000,429459.000,0.4499731951728629081770150097
