﻿HuijinEntity,Symbol,ReportTypeID,ReportTypeName,EndDate,Ranking,HolderName,FundID,FundClassID,Startdate,HoldersShare,HolderOfListing
中央汇金资产管理有限责任公司,159562,6,年度,2024-12-31,1.0,华夏基金－中央汇金资产管理有限责任公司－华夏基金－汇金资管单一资产管理计划,10981215,202000051594,2024-01-11,32976000.0,11.9
中央汇金资产管理有限责任公司,159562,5,半年度,2025-06-30,1.0,华夏基金－中央汇金资产管理有限责任公司－华夏基金－汇金资管单一资产管理计划,10981215,202000051594,2025-01-01,36343374.0,9.71
中央汇金资产管理有限责任公司,159562,6,年度,2025-12-31,2.0,华夏基金－中央汇金资产管理有限责任公司－华夏基金－汇金资管单一资产管理计划,10981215,202000051594,2025-01-01,92999674.0,6.86
中央汇金资产管理有限责任公司,159605,5,半年度,2022-06-30,2.0,易方达基金-中央汇金资产管理有限责任公司-易方达基金-汇金资管单一资产管理计划,10571623,202000033570,2022-01-01,178628541.0,3.67
中央汇金资产管理有限责任公司,159605,6,年度,2022-12-31,3.0,易方达基金-中央汇金资产管理有限责任公司-易方达基金-汇金资管单一资产管理计划,10571623,202000033570,2022-01-01,330000019.0,4.57
中央汇金资产管理有限责任公司,159605,5,半年度,2023-06-30,2.0,易方达基金-中央汇金资产管理有限责任公司-易方达基金-汇金资管单一资产管理计划,10571623,202000033570,2023-01-01,510000019.0,6.29
中央汇金资产管理有限责任公司,159605,6,年度,2023-12-31,2.0,易方达基金-中央汇金资产管理有限责任公司-易方达基金-汇金资管单一资产管理计划,10571623,202000033570,2023-01-01,628000019.0,6.43
中央汇金资产管理有限责任公司,159605,5,半年度,2024-06-30,2.0,易方达基金-中央汇金资产管理有限责任公司-易方达基金-汇金资管单一资产管理计划,10571623,202000033570,2024-01-01,670000019.0,8.41
中央汇金资产管理有限责任公司,159605,6,年度,2024-12-31,1.0,易方达基金-中央汇金资产管理有限责任公司-易方达基金-汇金资管单一资产管理计划,10571623,202000033570,2024-01-01,1484211143.0,18.93
中央汇金资产管理有限责任公司,159605,5,半年度,2025-06-30,1.0,易方达基金-中央汇金资产管理有限责任公司-易方达基金-汇金资管单一资产管理计划,10571623,202000033570,2025-01-01,800000043.0,19.13
中央汇金资产管理有限责任公司,159605,6,年度,2025-12-31,1.0,易方达基金-中央汇金资产管理有限责任公司-易方达基金-汇金资管单一资产管理计划,10571623,202000033570,2025-01-01,700000043.0,17.49
中央汇金投资有限责任公司,159629,5,半年度,2024-06-30,1.0,中央汇金投资有限责任公司,10595530,202000040619,2024-01-01,1313005255.0,47.01
中央汇金资产管理有限责任公司,159629,6,年度,2024-12-31,1.0,中央汇金资产管理有限责任公司,10595530,202000040619,2024-01-01,1461247600.0,39.59
中央汇金投资有限责任公司,159629,6,年度,2024-12-31,2.0,中央汇金投资有限责任公司,10595530,202000040619,2024-01-01,1313005255.0,35.57
中央汇金资产管理有限责任公司,159629,5,半年度,2025-06-30,1.0,中央汇金资产管理有限责任公司,10595530,202000040619,2025-01-01,2320963700.0,50.57
中央汇金投资有限责任公司,159629,5,半年度,2025-06-30,2.0,中央汇金投资有限责任公司,10595530,202000040619,2025-01-01,1313005255.0,28.61
中央汇金资产管理有限责任公司,159629,6,年度,2025-12-31,1.0,中央汇金资产管理有限责任公司,10595530,202000040619,2025-01-01,2320963700.0,54.52
中央汇金投资有限责任公司,159629,6,年度,2025-12-31,2.0,中央汇金投资有限责任公司,10595530,202000040619,2025-01-01,1313005255.0,30.84
中央汇金资产管理有限责任公司,159726,6,年度,2024-12-31,1.0,华夏基金－中央汇金资产管理有限责任公司－华夏基金－汇金资管单一资产管理计划,10561034,202000031373,2024-01-01,70120000.0,13.49
中央汇金资产管理有限责任公司,159726,5,半年度,2025-06-30,1.0,华夏基金－中央汇金资产管理有限责任公司－华夏基金－汇金资管单一资产管理计划,10561034,202000031373,2025-01-01,80588800.0,19.35
中央汇金资产管理有限责任公司,159745,6,年度,2023-12-31,8.0,华夏基金－中央汇金资产管理有限责任公司－华夏基金－汇金资管单一资产管理计划,10542918,202000028229,2023-01-01,13854000.0,1.13
中央汇金资产管理有限责任公司,159745,5,半年度,2024-06-30,4.0,华夏基金－中央汇金资产管理有限责任公司－华夏基金－汇金资管单一资产管理计划,10542918,202000028229,2024-01-01,62719900.0,4.86
中央汇金资产管理有限责任公司,159766,5,半年度,2023-06-30,6.0,华夏基金－中央汇金资产管理有限责任公司－华夏基金－汇金资管单一资产管理计划,10545710,202000029110,2023-01-01,41721800.0,1.24
中央汇金资产管理有限责任公司,159766,6,年度,2023-12-31,1.0,华夏基金－中央汇金资产管理有限责任公司－华夏基金－汇金资管单一资产管理计划,10545710,202000029110,2023-01-01,126675336.0,3.38
中央汇金资产管理有限责任公司,159766,5,半年度,2024-06-30,8.0,华夏基金－中央汇金资产管理有限责任公司－华夏基金－汇金资管单一资产管理计划,10545710,202000029110,2024-01-01,86926506.0,1.9
中央汇金资产管理有限责任公司,159766,6,年度,2024-12-31,4.0,华夏基金－中央汇金资产管理有限责任公司－华夏基金－汇金资管单一资产管理计划,10545710,202000029110,2024-01-01,72901700.0,2.33
中央汇金资产管理有限责任公司,159766,5,半年度,2025-06-30,8.0,华夏基金－中央汇金资产管理有限责任公司－华夏基金－汇金资管单一资产管理计划,10545710,202000029110,2025-01-01,58433793.0,1.34
中央汇金资产管理有限责任公司,159806,6,年度,2020-12-31,1.0,华夏基金－中央汇金资产管理有限责任公司－华夏基金－汇金资管单一资产管理计划,10484225,202000022563,2020-03-10,117999901.0,15.93
中央汇金资产管理有限责任公司,159806,5,半年度,2021-06-30,1.0,华夏基金－中央汇金资产管理有限责任公司－华夏基金－汇金资管单一资产管理计划,10484225,202000022563,2021-01-01,117999901.0,19.61
中央汇金资产管理有限责任公司,159806,6,年度,2021-12-31,1.0,华夏基金－中央汇金资产管理有限责任公司－华夏基金－汇金资管单一资产管理计划,10484225,202000022563,2021-01-01,117999901.0,16.08
中央汇金资产管理有限责任公司,159807,6,年度,2020-12-31,1.0,华夏基金－中央汇金资产管理有限责任公司－华夏基金－汇金资管单一资产管理计划,10484262,202000022575,2020-03-16,93407905.0,14.2
中央汇金资产管理有限责任公司,159807,5,半年度,2021-06-30,1.0,华夏基金－中央汇金资产管理有限责任公司－华夏基金－汇金资管单一资产管理计划,10484262,202000022575,2021-01-01,253820490.0,20.26
中央汇金资产管理有限责任公司,159825,5,半年度,2023-06-30,8.0,华夏基金－中央汇金资产管理有限责任公司－华夏基金－汇金资管单一资产管理计划,10509063,202000024530,2023-01-01,23199700.0,0.61
中央汇金资产管理有限责任公司,159845,6,年度,2022-12-31,6.0,华夏基金－中央汇金资产管理有限责任公司－华夏基金－汇金资管单一资产管理计划,10526385,202000025910,2022-01-01,85443161.0,2.59
中央汇金投资有限责任公司,159845,5,半年度,2024-06-30,1.0,中央汇金投资有限责任公司,10526385,202000025910,2024-01-01,4797801550.0,71.56
中央汇金资产管理有限责任公司,159845,6,年度,2024-12-31,1.0,中央汇金资产管理有限责任公司,10526385,202000025910,2024-01-01,5123275630.0,43.31
中央汇金投资有限责任公司,159845,6,年度,2024-12-31,2.0,中央汇金投资有限责任公司,10526385,202000025910,2024-01-01,4797801550.0,40.55
中央汇金资产管理有限责任公司,159845,5,半年度,2025-06-30,1.0,中央汇金资产管理有限责任公司,10526385,202000025910,2025-01-01,8928108730.0,60.92
中央汇金投资有限责任公司,159845,5,半年度,2025-06-30,2.0,中央汇金投资有限责任公司,10526385,202000025910,2025-01-01,4797801550.0,32.74
中央汇金资产管理有限责任公司,159845,6,年度,2025-12-31,1.0,中央汇金资产管理有限责任公司,10526385,202000025910,2025-01-01,8928108730.0,56.04
中央汇金投资有限责任公司,159845,6,年度,2025-12-31,2.0,中央汇金投资有限责任公司,10526385,202000025910,2025-01-01,4797801550.0,30.11
中央汇金资产管理有限责任公司,159850,6,年度,2022-12-31,10.0,华夏基金－中央汇金资产管理有限责任公司－华夏基金－汇金资管单一资产管理计划,10524544,202000025246,2022-01-01,4657600.0,0.39
中央汇金资产管理有限责任公司,159852,6,年度,2022-12-31,10.0,华夏基金－中央汇金资产管理有限责任公司－华夏基金－汇金资管单一资产管理计划,10524228,202000025093,2022-01-01,9220900.0,1.52
中央汇金资产管理有限责任公司,159852,6,年度,2024-12-31,1.0,华夏基金－中央汇金资产管理有限责任公司－华夏基金－汇金资管单一资产管理计划,10524228,202000025093,2024-01-01,56725700.0,3.05
中央汇金资产管理有限责任公司,159852,5,半年度,2025-06-30,3.0,华夏基金－中央汇金资产管理有限责任公司－华夏基金－汇金资管单一资产管理计划,10524228,202000025093,2025-01-01,56725700.0,1.44
中央汇金资产管理有限责任公司,159852,6,年度,2025-12-31,1.0,华夏基金－中央汇金资产管理有限责任公司－华夏基金－汇金资管单一资产管理计划,10524228,202000025093,2025-01-01,122125500.0,1.75
中央汇金资产管理有限责任公司,159865,5,半年度,2023-06-30,8.0,华夏基金－中央汇金资产管理有限责任公司－华夏基金－汇金资管单一资产管理计划,10525907,202000025767,2023-01-01,59751400.0,0.71
